Date,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
1/1/2000,124371.6141,194462.5529,107057.8335,152120.9446,168534.3192,112076.355,116176.3744,195547.6316,135107.4744,177731.292,178069.6778,126626.1293,163853.0988,154457.3676,199223.9168,133435.2586,170380.8727,123778.9981,,125566.8405,103617.9995,152555.6745,97998.20518,112825.4373,128999.2538,112562.1175,110339.8423,153131.052,,131779.5894,133161.4146,106393.8328,99546.26733,119260.9854,86433.75422,86642.06773,98399.66898,73308.99614,122821.3321,,161668.9903,84394.19267,96502.72274,89330.63635,148751.1629,,81727.79325,107546.9726,115280.5171,90661.08183,105405.2546
2/1/2000,124693.4421,195116.1996,107289.7307,152662.6446,168988.6286,112137.2602,116240.3616,196200.5001,135352.1937,178132.1897,178701.9536,126727.6084,164389.0269,154476.6752,199131.7436,133888.5591,170474.2215,124060.0788,,125989.5031,103817.8692,152534.5154,98207.81592,113074.5104,129195.5095,112750.5999,110431.8888,153467.8034,,132378.9117,133312.6579,106747.807,99719.61321,119226.3722,86549.26881,86594.5505,98264.3717,73305.85812,122746.876,,162284.9071,84437.76498,96615.83136,89348.17212,148982.5856,,81761.50618,107318.4709,115464.7978,90834.3309,105469.6668
3/1/2000,125034.6553,195998.7827,107570.8364,153184.1182,169422.1198,112166.8001,116474.623,196977.3106,135667.152,178541.141,179400.6838,126946.9599,165149.4535,154715.7334,199437.5121,134429.6906,170620.7789,124384.399,,126382.7419,103973.1848,152642.6059,98404.79371,113277.4672,129397.6489,113046.6049,110525.7661,153775.4495,,133008.2987,133463.822,107063.8608,99835.75832,119359.793,86680.32984,86592.48331,98112.41115,73329.55384,122794.0506,,162928.0266,84517.04301,96785.17334,89451.483,149270.7277,,81918.65291,106998.6995,115635.5921,90997.88528,105567.3512
4/1/2000,125679.4348,197914.6074,108142.2519,154305.6661,170382.5334,112313.4096,116941.2709,198507.2997,136310.2787,179366.5094,180963.0193,127462.9815,166779.9647,155263.5777,199967.9199,135242.004,170988.4941,125067.2353,,127305.8216,104323.3351,152903.4314,98806.20451,113742.7159,129836.1251,113628.2372,110751.6274,154421.0244,,134251.8647,133641.1022,107760.1455,100095.9581,119551.3981,86960.16633,86654.94766,97650.46748,73389.52913,122891.9956,,164017.5977,84714.05617,97172.25108,89605.92558,149929.702,,82204.80886,106567.682,115900.7166,91351.15828,105854.5971
5/1/2000,126301.8988,200141.465,108758.462,155466.0673,171361.5995,112408.3562,117629.4403,200163.4375,137039.272,180267.347,182706.8566,128075.2573,168589.5304,155961.6777,201006.9437,136131.1277,172321.1118,125820.3766,,128318.459,104694.3158,153449.2442,99218.55392,114177.098,130324.6118,114298.0446,111012.1661,154996.7399,,135491.0222,133907.9837,108416.0493,100386.1688,119933.6652,87236.17195,86958.91059,97427.26632,73506.5379,123211.3767,,164912.9364,84975.89212,97672.24334,89838.73393,150681.2916,,82589.16082,106388.3662,116035.1638,91741.47039,106292.5757
6/1/2000,126902.9978,202544.2379,109387.1948,156720.782,172530.105,112514.8145,118385.2572,201957.8322,137693.4708,181127.3151,184589.9231,128763.3772,170533.2502,156588.3992,202180.3598,137070.4001,173790.2446,126618.4529,,129489.2597,105098.4336,154109.1636,99642.33755,114655.5777,130844.2419,114923.451,111270.7391,155531.1209,,136435.1663,134107.4936,109152.397,100737.0451,120382.323,87501.15936,87393.79724,97493.19523,73700.91617,123601.7143,,165799.7481,85263.72709,98224.76641,90101.33607,151510.4876,,82953.53471,106265.4972,116114.7259,92135.43086,106836.0159
7/1/2000,127632.6683,205081.7377,110018.9175,157848.766,173852.3767,112584.774,119267.0185,204081.2683,138358.7268,182061.5814,186497.9543,129509.7385,172378.5651,157074.1394,203353.826,138373.9144,175263.0207,127424.8876,,130777.1107,105493.5054,154890.1902,100092.3696,115119.8973,131351.6688,115546.4192,111550.4396,155976.056,,137298.0495,134523.8073,109944.2372,101061.9431,120976.4708,87757.2882,87795.42721,97972.29803,73956.34909,123987.7257,,166790.8938,85588.2533,98825.46196,90442.92323,152354.16,,83330.84602,106179.8141,116206.8774,92535.51283,107373.2363
8/1/2000,128493.1229,207731.0215,110662.2946,158836.1243,175459.1249,112791.7419,120157.0888,206694.3782,138997.7597,182924.8475,188569.2088,130572.0944,173965.8616,157542.1247,204711.6551,139901.005,175869.6572,128277.3399,,132540.9117,105805.8872,155614.9836,100521.974,115631.0392,131830.1797,116190.4862,111839.1218,156451.2889,,138162.685,134719.6154,110768.0121,101355.5535,121633.1422,88048.67388,88177.95019,98460.63707,74290.47442,124377.5843,,167989.9744,85959.50205,99473.2022,90813.8564,153175.1185,,83682.08555,106022.3819,116427.4142,92877.64154,107895.3782
9/1/2000,129433.4463,210386.4533,111329.1596,159713.487,177235.8616,113063.1496,121007.8133,209630.6924,139704.5259,183710.628,190743.5362,131821.4438,175158.1629,158105.3624,206053.8182,141541.6074,176400.0771,129148.5942,,134364.3215,106161.6584,156355.7362,100959.7006,116158.7238,132297.2261,116902.5237,112184.0284,156850.8984,,139228.0166,134898.2364,111625.2806,101670.5037,122290.9413,88378.24479,88518.70834,98842.23618,74589.65985,124703.951,,169252.4932,86371.55577,100125.3903,91161.30852,153932.9415,,84001.36846,106241.7076,116696.8007,93234.52048,108408.4178
10/1/2000,130323.1448,212904.6642,112009.9247,160653.9044,179032.4687,113353.9682,121802.355,212732.4758,140385.5085,184394.8572,192903.1859,133263.4207,175461.9291,158738.5863,207458.8451,143429.2553,176848.1019,130054.1186,,136230.4176,106582.9654,157137.4475,101379.4964,116678.1184,132790.9968,117759.3955,112518.0636,157252.3044,,140295.8285,134840.9697,112435.763,102031.8939,122935.0229,88709.33321,88991.49422,99309.41172,74934.72905,125019.0895,,170634.1219,86756.50615,100818.7032,91516.53367,154609.6784,,84286.71037,106487.5357,116979.664,93674.36432,108904.022
