Date,Montana,New Mexico,North Dakota,Wyoming
1/1/2009,197376.7524,184727.1515,160646.9767,204809.8163
2/1/2009,196989.8247,184065.0308,160656.7873,204700.8683
3/1/2009,196633.2229,182874.4762,160614.1597,204308.8279
4/1/2009,196213.2015,181768.9037,160402.4441,203705.7616
5/1/2009,195803.7205,180724.9987,160054.4426,203273.5878
6/1/2009,195162.2527,180561.8409,159651.6208,202996.0649
7/1/2009,194393.1318,180179.7332,159373.9809,202743.1937
8/1/2009,193491.1836,179906.8643,159556.0456,202188.8475
9/1/2009,192566.4852,179137.6517,159983.0604,201522.4185
10/1/2009,191924.6863,178921.3109,160373.4769,200834.9262
11/1/2009,191364.1331,178575.6321,160311.7569,200105.8647
12/1/2009,190854.9935,178245.1144,160129.8349,199572.7359
1/1/2010,190103.7233,178028.353,160044.6578,199230.2127
2/1/2010,189400.4389,178024.5856,159938.1359,199168.2799
3/1/2010,189020.0564,178284.8958,159659.348,199173.5092
4/1/2010,188864.1617,177992.2291,159322.1735,199272.6223
5/1/2010,189026.1682,177559.4388,159248.3849,199621.5725
6/1/2010,188998.651,176580.5941,159456.9427,199984.97
7/1/2010,188849.0536,175508.3311,160011.8137,200084.8894
8/1/2010,188515.3926,174399.7989,160667.5301,199848.5926
9/1/2010,188209.9868,173345.3183,161464.4464,199476.1504
10/1/2010,187835.2208,171842.9912,162017.9954,199218.41
11/1/2010,187221.9821,170176.7354,162381.0782,198866.5007
12/1/2010,186391.7004,168652.3874,162538.7326,198553.6607
1/1/2011,185368.8869,168090.752,162576.2741,198347.5111
2/1/2011,184201.9859,167904.2356,162588.9733,198310.3894
3/1/2011,183163.7886,167907.2371,162746.4969,198339.0812
4/1/2011,182542.0161,167345.892,163058.7112,198280.41
5/1/2011,182205.1793,166418.6884,163122.6935,198016.8225
6/1/2011,182003.9261,165257.946,162773.1853,197429.4988
7/1/2011,181684.553,164453.8824,162327.1068,196941.0497
8/1/2011,181589.1306,163896.5221,162184.8359,196727.8287
9/1/2011,181591.6914,163523.6447,162247.8665,196846.6293
10/1/2011,181740.0164,163138.5405,162452.8042,196830.2582
11/1/2011,181840.306,162734.1586,162624.5531,196916.2928
12/1/2011,181918.2552,162341.0383,162751.7321,197088.1652
1/1/2012,182034.8133,162029.6298,162929.6341,197698.3729
2/1/2012,182197.7766,161910.0809,163302.358,198446.4317
3/1/2012,182764.6566,161987.5168,164019.3481,199444.3628
4/1/2012,183483.6197,162130.7524,164821.0541,200438.6151
