Date,Arizona,Alaska,West Virginia,Idaho,South Dakota
1/1/2000,135107.4744,133161.4146,73308.99614,122821.3321,107546.9726
2/1/2000,135352.1937,133312.6579,73305.85812,122746.876,107318.4709
3/1/2000,135667.152,133463.822,73329.55384,122794.0506,106998.6995
4/1/2000,136310.2787,133641.1022,73389.52913,122891.9956,106567.682
5/1/2000,137039.272,133907.9837,73506.5379,123211.3767,106388.3662
6/1/2000,137693.4708,134107.4936,73700.91617,123601.7143,106265.4972
7/1/2000,138358.7268,134523.8073,73956.34909,123987.7257,106179.8141
8/1/2000,138997.7597,134719.6154,74290.47442,124377.5843,106022.3819
9/1/2000,139704.5259,134898.2364,74589.65985,124703.951,106241.7076
10/1/2000,140385.5085,134840.9697,74934.72905,125019.0895,106487.5357
11/1/2000,141041.305,134979.97,75385.88103,125270.1687,106527.6745
12/1/2000,141678.337,135316.786,75973.18835,125514.4507,106426.0595
1/1/2001,142298.7196,137698.101,76687.77977,125910.4526,106487.095
2/1/2001,142917.5372,141466.6052,77134.99653,126311.8959,106706.5217
3/1/2001,143539.2961,146277.4348,77472.3641,126864.4962,107156.9198
4/1/2001,144171.3977,149918.7329,77630.55095,127396.5743,107562.1418
5/1/2001,144813.0102,152936.1036,77940.08933,127917.2308,108155.1821
6/1/2001,145460.1787,155469.8601,78253.92561,128304.5183,108460.7034
7/1/2001,146075.8948,157846.4529,78567.67571,128701.8447,108752.853
8/1/2001,146684.8039,159566.4045,78858.47935,129183.3336,108822.7035
9/1/2001,147297.6812,160774.3684,79105.49147,129702.5841,108913.9544
10/1/2001,147959.8937,161578.4948,79370.95975,130190.94,109122.7897
11/1/2001,148646.028,162501.6051,79531.14912,130501.3412,109371.7463
12/1/2001,149287.5778,163542.2943,79641.94289,130775.6962,109537.2488
1/1/2002,149824.0726,164305.0291,79732.33281,130951.5149,109667.6099
2/1/2002,150309.8662,164915.4914,79936.81964,131208.376,110134.4111
3/1/2002,150837.4671,165424.1151,80226.63749,131405.4825,110505.2349
4/1/2002,151423.5084,166258.9421,80475.84844,131619.3987,110760.4018
5/1/2002,152018.3026,167008.3524,80688.17572,131856.9425,110864.2016
6/1/2002,152687.1514,167612.8162,80891.99806,132207.8623,111217.5144
7/1/2002,153410.8698,168156.2935,81143.80277,132563.1261,111641.5383
8/1/2002,154234.2535,168720.33,81436.77069,132892.5788,112033.0743
9/1/2002,154945.6132,169337.1607,81729.23727,133209.1852,112529.7395
10/1/2002,155659.7763,169826.0469,82107.03128,133533.3652,112867.2665
11/1/2002,156305.2363,170392.4772,82362.33723,133808.2587,113087.9646
12/1/2002,157018.5701,170997.4514,82552.05627,133976.9654,113208.1129
1/1/2003,157685.4788,171400.1682,82656.68799,134105.2449,113666.9963
2/1/2003,158393.6906,171663.6061,82937.69115,134299.2202,114501.2745
3/1/2003,159045.0859,171833.2845,83299.82231,134391.0155,115064.1896
4/1/2003,159768.9353,172237.3136,83700.38871,134743.9245,115326.1909
5/1/2003,160516.5949,173027.094,84093.53966,135184.153,115148.8737
6/1/2003,161343.2452,174158.4054,84495.51504,135751.1092,115233.6535
7/1/2003,162201.324,175949.4971,84913.80932,136166.8981,115516.6435
8/1/2003,163123.6831,177537.6832,85223.44148,136534.9864,116121.9957
9/1/2003,164153.2307,179241.4646,85487.54058,136947.5403,116970.3035
10/1/2003,165176.4787,180777.3114,85681.65715,137297.8066,117963.1294
11/1/2003,166064.9548,182204.9135,85956.93832,137532.057,118695.7913
12/1/2003,166832.1902,183458.0741,86295.0195,137808.659,119081.0472
1/1/2004,167519.4149,183748.4024,86748.45879,138130.9947,119256.1348
2/1/2004,168387.8781,184343.3482,87266.04237,138602.8099,119699.0072
3/1/2004,169444.3634,184765.5775,87879.90789,139148.2869,120277.8251
